"SrNo","StationID","Date_from","Date_to","ECR"
"171","55","2021-03-01","2021-03-31","2.211"
"172","14","2021-03-01","2021-03-31","2.025"
"173","16","2021-03-01","2021-03-31","0.000"
"174","15","2021-03-01","2021-03-31","12.759"
"175","22","2021-03-01","2021-03-31","2.071"
"176","24","2021-03-01","2021-03-31","10.711"
"177","23","2021-03-01","2021-03-31","12.452"
"178","71","2021-03-01","2021-03-31","2.012"
"179","73","2021-03-01","2021-03-31","6.580"
"180","72","2021-03-01","2021-03-31","12.450"
"181","94","2021-03-01","2021-03-31","1.942"
"182","99","2021-03-01","2021-03-31","0.000"
"183","102","2021-03-01","2021-03-31","0.000"
"184","101","2021-03-01","2021-03-31","0.000"
"185","150","2021-03-01","2021-03-31","0.000"
"186","153","2021-03-01","2021-03-31","0.000"
"187","154","2021-03-01","2021-03-31","16.094"
"188","152","2021-03-01","2021-03-31","1.603"
"189","311","2021-03-01","2021-03-31","0.000"
"190","35","2021-04-01","2021-04-30","2.621"
"191","34","2021-04-01","2021-04-30","2.587"
"192","43","2021-04-01","2021-04-30","2.998"
"193","74","2021-04-01","2021-04-30","2.893"
"194","75","2021-04-01","2021-04-30","3.108"
"195","77","2021-04-01","2021-04-30","1.119"
"196","96","2021-04-01","2021-04-30","2.640"
"197","97","2021-04-01","2021-04-30","2.592"
"198","98","2021-04-01","2021-04-30","2.565"
"199","161","2021-04-01","2021-04-30","2.124"
"200","162","2021-04-01","2021-04-30","2.015"
"201","159","2021-04-01","2021-04-30","2.662"
"202","189","2021-04-01","2021-04-30","1.359"
"203","190","2021-04-01","2021-04-30","1.332"
"204","191","2021-04-01","2021-04-30","3.335"
"205","198","2021-04-01","2021-04-30","2.053"
"206","223","2021-04-01","2021-04-30","2.599"
"207","224","2021-04-01","2021-04-30","2.838"
"208","323","2021-04-01","2021-04-30","2.448"
"209","324","2021-04-01","2021-04-30","2.398"
"210","316","2021-04-01","2021-04-30","1.349"
"211","317","2021-04-01","2021-04-30","1.346"
"212","318","2021-04-01","2021-04-30","1.329"
"213","339","2021-04-01","2021-04-30","2.925"
"214","340","2021-04-01","2021-04-30","2.886"
"215","343","2021-04-01","2021-04-30","1.410"
"216","345","2021-04-01","2021-04-30","1.365"
"217","346","2021-04-01","2021-04-30","1.408"
"218","350","2021-04-01","2021-04-30","3.283"
"219","391","2021-04-01","2021-04-30","1.909"
"220","370","2021-04-01","2021-04-30","1.907"
"221","368","2021-04-01","2021-04-30","1.811"
"222","374","2021-04-01","2021-04-30","2.482"
"223","404","2021-04-01","2021-04-30","3.061"
