"SrNo","StateID","StationID","VC","date_from","date_to"
"216","5","15","10.190","2021-05-01","2021-06-14"
"217","5","16","7.890","2021-05-01","2021-06-14"
"218","5","22","2.890","2021-05-01","2021-06-14"
"219","5","23","10.240","2021-05-01","2021-06-14"
"220","5","24","9.650","2021-05-01","2021-06-14"
"221","5","45","3.460","2021-05-01","2021-06-14"
"222","5","61","1.140","2021-05-01","2021-06-14"
"223","5","62","1.010","2021-05-01","2021-06-14"
"224","5","63","2.120","2021-05-01","2021-06-14"
"225","5","71","3.030","2021-05-01","2021-06-14"
"226","5","72","9.770","2021-05-01","2021-06-14"
"227","5","73","8.470","2021-05-01","2021-06-14"
"228","5","75","2.970","2021-05-01","2021-06-14"
"229","5","80","3.460","2021-05-01","2021-06-14"
"230","5","85","1.220","2021-05-01","2021-06-14"
"231","5","91","2.750","2021-05-01","2021-06-14"
"232","5","135","3.220","2021-05-01","2021-06-14"
"233","5","162","2.280","2021-05-01","2021-06-14"
"234","5","170","2.490","2021-05-01","2021-06-14"
"235","5","180","1.960","2021-05-01","2021-06-14"
"236","5","216","2.599","2021-05-01","2021-06-14"
"237","5","235","2.970","2021-05-01","2021-06-14"
"238","5","240","1.190","2021-05-01","2021-06-14"
"239","5","281","2.740","2021-05-01","2021-06-14"
"240","5","286","3.460","2021-05-01","2021-06-14"
"241","5","300","1.610","2021-05-01","2021-06-14"
"242","5","304","3.350","2021-05-01","2021-06-14"
"243","5","305","3.920","2021-05-01","2021-06-14"
"244","5","316","1.310","2021-05-01","2021-06-14"
"245","5","317","1.320","2021-05-01","2021-06-14"
"246","5","318","1.340","2021-05-01","2021-06-14"
"247","5","328","0.610","2021-05-01","2021-06-14"
"248","5","336","2.160","2021-05-01","2021-06-14"
"249","5","343","1.310","2021-05-01","2021-06-14"
"250","5","372","4.200","2021-05-01","2021-06-14"
"251","5","374","2.660","2021-05-01","2021-06-14"
"252","5","379","2.660","2021-05-01","2021-06-14"
"253","5","404","2.510","2021-05-01","2021-06-14"
"254","5","405","2.510","2021-05-01","2021-06-14"
"255","5","406","2.510","2021-05-01","2021-06-14"
"256","5","407","3.050","2021-05-01","2021-06-14"
"257","5","413","0.820","2021-05-01","2021-06-14"
"258","5","414","2.410","2021-05-01","2021-06-14"
"259","6","1","1.600","2021-06-16",NULL
"260","6","29","1.655","2021-06-16",NULL
"261","6","98","2.831","2021-06-16",NULL
"262","6","140","1.544","2021-06-16",NULL
"263","6","159","2.874","2021-06-16",NULL
"264","6","162","2.219","2021-06-16",NULL
"265","6","175","1.340","2021-06-16",NULL
"266","6","177","1.498","2021-06-16",NULL
"267","6","188","1.600","2021-06-16",NULL
"268","6","189","1.436","2021-06-16",NULL
"269","6","190","1.407","2021-06-16",NULL
"270","6","198","2.052","2021-06-16",NULL
"271","6","212","1.521","2021-06-16",NULL
"272","6","214","1.600","2021-06-16",NULL
"273","6","223","2.736","2021-06-16",NULL
"274","6","224","3.001","2021-06-16",NULL
"275","6","249","2.560","2021-06-16",NULL
"276","6","308","1.600","2021-06-16",NULL
"277","6","345","1.452","2021-06-16",NULL
"278","6","346","1.506","2021-06-16",NULL
"279","6","347","1.600","2021-06-16",NULL
"280","6","350","3.012","2021-06-16",NULL
"281","6","357","1.600","2021-06-16",NULL
"282","6","428","1.463","2021-06-16",NULL
"283","6","429","1.444","2021-06-16",NULL
"284","6","430","1.493","2021-06-16",NULL
"285","6","480","1.274","2021-06-16",NULL
"286","6","481","1.600","2021-06-16",NULL
"287","6","1","1.600","2021-05-01","2021-06-15"
"288","6","29","1.655","2021-05-01","2021-06-15"
"289","6","98","2.741","2021-05-01","2021-06-15"
"290","6","140","1.544","2021-05-01","2021-06-15"
"291","6","159","2.697","2021-05-01","2021-06-15"
"292","6","162","2.026","2021-05-01","2021-06-15"
"293","6","175","1.680","2021-05-01","2021-06-15"
"294","6","177","1.272","2021-05-01","2021-06-15"
"295","6","188","1.600","2021-05-01","2021-06-15"
"296","6","189","1.307","2021-05-01","2021-06-15"
"297","6","190","1.282","2021-05-01","2021-06-15"
"298","6","198","2.071","2021-05-01","2021-06-15"
"299","6","212","1.540","2021-05-01","2021-06-15"
"300","6","214","1.600","2021-05-01","2021-06-15"
"301","6","223","2.678","2021-05-01","2021-06-15"
"302","6","224","2.921","2021-05-01","2021-06-15"
"303","6","249","2.389","2021-05-01","2021-06-15"
"304","6","308","1.600","2021-05-01","2021-06-15"
"305","6","345","1.401","2021-05-01","2021-06-15"
"306","6","346","1.445","2021-05-01","2021-06-15"
