"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"88","DOYANG","ISGS","DOYANG","75","0","Others","HYDRO","0",,,,
"89","DPL","PSP","DPL","0","NULL","NULL","Thermal","Others","NULL",,,
"90","DSTPS I&II","LTA","DSTPS I&II","0","0","Thermal","0","0",,,,
"91","DULHASTI","ISGS","DULHASTI","390","0","Hydro","0","0",,,,
"92","DVC","LTA","DVC","0","0","Others","0","0",,,,
"93","ESSAR POWER GAS ","PSP","ESSAR POWER GAS ","0","0","Gas","0","0",,,,
"94","FARIDABAD  GPS","PSP","FARIDABAD  GPS","0","CS","NTPC","0","0",,,,
"95","FARIDABAD_SOLAR","LTA","FARIDABAD_SOLAR","5","CS","NTPC-RE","0","0",,,,
"96","FSTPP I & II","ISGS","FSTPP I & II","1600","CS","NTPC","0","0",,,,
"97","FSTPP-III","ISGS","FSTPP-III","500","CS","NTPC","0","0",,,,
"98","GADARWARA-I","ISGS","GADARWARA-I","1600","CS","NTPC","Coal","0",,,,
"99","GANDHAR-APM","ISGS","GANDHAR-APM","657","CS","NTPC","Gas","0",,,,
"100","GANDHAR-ComGas","ISGS","GANDHAR-ComGas","657","CS","NTPC","0","0",,,,
"101","GANDHAR-NAPM","ISGS","GANDHAR-NAPM","657","CS","NTPC","0","0",,,,
"102","GANDHAR-RLNG","ISGS","GANDHAR-RLNG","657","CS","NTPC","0","0",,,,
"103","GANDHINAGAR(GTPS) ","PSP","GANDHINAGAR(GTPS) ","0","0","Thermal","0","0",,,,
"104","GAS/DIESEL/OTHERS J&K","PSP","GAS/DIESEL/OTHERS J&K","0","NULL","NULL","Gas","Gas","NULL",,,
"105","GAUTAMI CCPP","PSP","GAUTAMI CCPP","0","0","0","0","0",,,,
"106","GHATGHAR ","PSP","GHATGHAR ","0","0","Hydro","0","0",,,,
"107","GIPCL STG ","PSP","GIPCL STG ","0","0","Gas","0","0",,,,
"108","GIRAL (IPP) LTPS","PSP","GIRAL (IPP) LTPS","0","0","Thermal","0","0",,,,
"109","GMR (BARG)","PSP","GMR (BARG)","0","0","0","0","0",,,,
"110","GMR 3","PSP","GMR 3","1050","0","Thermal","0","0",,,,
"111","GMR WARORA","LTA","GMR WARORA","0","0","Thermal","0","0",,,,
"112","GMRKEL","LTA","GMRKEL","0","0","Thermal","0","0",,,,
"113","GOINDWAL(GVK)","PSP","GOINDWAL(GVK)","0","0","Thermal","0","0",,,,
"114","GSEC ","PSP","GSEC ","0","0","Gas","0","0",,,,
"115","Gumti","PSP","Gumti","0","NULL","NULL","Others","Others","NULL",,,
"116","GURU GOBIND SINGH TPS (ROPAR)","PSP","GURU GOBIND SINGH TPS (ROPAR)","0","0","Thermal","0","0",,,,
"117","GURU HARGOBIND SINGH TPS (LEHRA MOHABBAT)","PSP","GURU HARGOBIND SINGH TPS (LEHRA MOHABBAT)","0","0","Thermal","0","0",,,,
"118","HALDIA ENERGY LTD","PSP","HALDIA ENERGY LTD","0","NULL","NULL","Others","Others","NULL",,,
"119","HAMPI ","PSP","HAMPI ","0","0","0","0","0",,,,
"120","HARDUAGANJ  TPS","PSP","HARDUAGANJ  TPS","405","0","Others","0","0",,,,
"121","HASDEO BANGO","PSP","HASDEO BANGO","0","LTOA","Hydro","Hydro","0",,,,
"122","HINDUJA POWER CORPORATION LTD","PSP","HINDUJA POWER CORPORATION LTD","0","0","0","0","0",,,,
"123","HIRAKUD HEP","LTA","HIRAKUD HEP","0","LTOA","Hydro","Hydro","0",,,,
"124","IB AMARAVATI ","PSP","IB AMARAVATI ","0","0","Thermal","0","0",,,,
"125","IB.TPS ","PSP","IB.TPS ","420","0","Thermal","0","0",,,,
"126","IDDUKKI","PSP","IDDUKKI","0","0","Hydro","0","0",,,,
"127","IEPL ","PSP","IEPL ","0","0","Thermal","0","0",,,,
"128","INDIRASAGAR ","PSP","INDIRASAGAR ","0","NULL","NULL","Hydro","MustRun","NULL",,,
"129","INDRAVATI ","PSP","INDRAVATI ","600","0","Hydro","0","0",,,,
"130","JAIGAD ","PSP","JAIGAD ","0","0","Thermal","0","0",,,,
"131","JALDHAKA HPS","PSP","JALDHAKA HPS","0","NULL","NULL","Hydro","MustRun","NULL",,,
"132","JEGRUPADU EXT.","PSP","JEGRUPADU EXT.","0","0","0","0","0",,,,
"133","JEGURUPADU (GAS)","PSP","JEGURUPADU (GAS)","0","0","0","0","0",,,,
"134","JHABUA_IPP","LTA","JHABUA_IPP","600","0","Thermal","0","0",,,,
"135","JHAJJAR","ISGS","JHAJJAR","1500","CS","NTPC","0","0",,,,
"136","JHAJJAR(CLP)","PSP","JHAJJAR(CLP)","0","0","Thermal","0","0",,,,
"137","JINDAL ","PSP","JINDAL ","0","0","Others","0","0",,,,
"138","JITPL","LTA","JITPL","0","0","Thermal","0","0",,,,
"139","JP BINA ","PSP","JP BINA ","500","NULL","NULL","Thermal","Others","NULL",,,
"140","JPL-2","LTA","JPL-2","2400","IPP","Thermal","Coal","0",,,,
"141","JPNIGRIE_JNSTPP","LTA","JPNIGRIE_JNSTPP","1320","NULL","NULL","Thermal","Others","NULL",,,
"142","KADAMPARAI ","PSP","KADAMPARAI ","0","NULL","NULL","Hydro","MustRun","NULL",,,
"143","KADAMPARAI (PUMP)","PSP","KADAMPARAI (PUMP)","0","NULL","NULL","Hydro","MustRun","NULL",,,
"144","KADANA ","PSP","KADANA ","0","0","Hydro","0","0",,,,
"145","KAKATIYA ST1&ST2","PSP","KAKATIYA ST1&ST2","1100","0","Others","0","0",,,,
"146","KALISINDH TPS","PSP","KALISINDH TPS","0","0","Thermal","0","0",,,,
"147","KAMENG","ISGS","KAMENG","0","0","Hydro","0","0",,,,
"148","KAPS","ISGS","KAPS","0","0","Nuclear","0","0",,,,
"149","KAWAI TPS","PSP","KAWAI TPS","0","0","Thermal","0","0",,,,
"150","KAWAS-APM","ISGS","KAWAS-APM","656","CS","NTPC","Gas","0",,,,
"151","KAWAS-ComGas","ISGS","KAWAS-ComGas","656","CS","NTPC","0","0",,,,
"152","KAWAS-NAPM","ISGS","KAWAS-NAPM","656","CS","NTPC","0","0",,,,
"153","KAWAS-RLNG","ISGS","KAWAS-RLNG","656","CS","NTPC","0","0",,,,
"154","KAWAS-zLIQ","ISGS","KAWAS-zLIQ","656","CS","NTPC","0","0",,,,
"155","KGSU1AND2","ISGS","KGSU1AND2","440","0","Nuclear","0","0",,,,
"156","KGSU3AND4","ISGS","KGSU3AND4","440","0","Nuclear","0","0",,,,
"157","KHANDONG","ISGS","KHANDONG","50","0","Others","HYDRO","0",,,,
"158","Andhra","PSP","Andhra","17","0","Hydro","0",,,,,
"159","KHARGONE-I","ISGS","KHARGONE-I","1320","CS","NTPC","Coal","0",,,,
"160","KHOPOLI ","PSP","KHOPOLI ","0","0","Hydro","0","0",,,,
