"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"161","KHSTPP-I","ISGS","KHSTPP-I","840","CS","NTPC","0","0",,,,
"162","KHSTPP-II","ISGS","KHSTPP-II","1500","CS","NTPC","Coal","0",,,,
"163","KISHANGANGA","ISGS","KISHANGANGA","330","0","Hydro","0","0",,,,
"164","KKNP","ISGS","KKNP","1000","0","Nuclear","0","0",,,,
"165","KKNPPU2","ISGS","KKNPPU2","1000","0","Nuclear","0","0",,,,
"166","KLHEP","PSP","KLHEP","0","NULL","NULL","Hydro","MustRun","NULL",,,
"167","KLTPS ","PSP","KLTPS ","0","0","Thermal","0","0",,,,
"168","KODERMA","LTA","KODERMA","0","0","Thermal","0","0",,,,
"169","KOLAGHAT","PSP","KOLAGHAT","0","NULL","NULL","Thermal","Others","NULL",,,
"170","KOLDAM","ISGS","KOLDAM","800","CS","NTPC","0","0",,,,
"171","KONASEEMA CCPP","PSP","KONASEEMA CCPP","0","0","0","0","0",,,,
"172","KOPILI","ISGS","KOPILI","200","0","Others","HYDRO","0",,,,
"173","KOPILI-2","ISGS","KOPILI-2","25","0","Others","HYDRO","0",,,,
"174","Baner","PSP","Baner","12","0","Hydro","0",,,,,
"175","KORBA EAST EXT(DSPM)","PSP","KORBA EAST EXT(DSPM)","500","LTOA","Thermal","Coal","0",,,,
"176","KORBA(E)","PSP","KORBA(E)","0","0","Thermal","Coal","0",,,,
"177","KORBA(W) CSPGCL","PSP","KORBA(W) CSPGCL","840","LTOA","Thermal","Coal","0",,,,
"178","KOSI ","PSP","KOSI ","0","NULL","NULL","Hydro","MustRun","NULL",,,
"179","KOTA TPS","PSP","KOTA TPS","0","0","Thermal","0","0",,,,
"180","KOTESHWR","ISGS","KOTESHWR","400","0","Others","0","0",,,,
"181","KOTHAGUDEM TPS","PSP","KOTHAGUDEM TPS","500","0","Others","0","0",,,,
"182","KOVIL KALAPPAL (GAS)","PSP","KOVIL KALAPPAL (GAS)","0","NULL","NULL","Gas","Gas","NULL",,,
"183","KOYNA I AND II ","PSP","KOYNA I AND II ","0","0","Hydro","0","0",,,,
"184","KOYNA III ","PSP","KOYNA III ","0","0","Hydro","0","0",,,,
"185","KOYNA ST-IV ","PSP","KOYNA ST-IV ","0","0","Hydro","0","0",,,,
"186","KOZHIKODE DPP (DIESEL)","PSP","KOZHIKODE DPP (DIESEL)","0","0","Others","0","0",,,,
"187","KRISHNAPATTANAM ","PSP","KRISHNAPATTANAM ","0","0","0","0","0",,,,
"188","KSK_MAHANADI","LTA","KSK_MAHANADI","1200","0","Thermal","0","0",,,,
"189","KSTPS I&II","ISGS","KSTPS I&II","2100","CS","NTPC","Coal","0",,,,
"190","KSTPS7","ISGS","KSTPS7","500","CS","NTPC","Coal","0",,,,
"191","KUDGI","ISGS","KUDGI","2400","CS","NTPC","0","0",,,,
"192","KURICHU","ISGS","KURICHU","0","NULL","NULL","Hydro","MustRun","NULL",,,
"193","KUTTALAM (GAS)","PSP","KUTTALAM (GAS)","0","NULL","NULL","Gas","Gas","NULL",,,
"194","KWHEP","LTA","KWHEP","1000","0","Hydro","0","0",,,,
"195","LALITPUR TPS","PSP","LALITPUR TPS","1875","0","Others","0","0",,,,
"196","LAMKPL","LTA","LAMKPL","0","0","Hydro","0","0",,,,
