"StationID","State_1","State_2","State_3","State_4","State_5","State_6","State_7","State_8","State_9","State_10","State_11","State_12","State_13","State_14","State_15","State_16","State_17","State_18","State_19","State_20","State_21","State_22","State_23","State_24","State_25","State_26","State_27","State_28","State_29","State_30","State_31","State_32","State_33","State_34","State_35","State_36","State_37","State_38","State_39","Total"
"69","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"70","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","1.000","0.000","24.980","1.000","1.000","1.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","1.000","0.000","0.000","0.000","0.000","1.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"71","0.000","0.000","0.000","0.000","8.000","0.000","0.000","0.000","1.000","0.000","24.980","1.000","24.980","1.000","0.000","0.000","0.000","2.240","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","1.000","0.000","0.000","0.000","0.000","262.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"72","0.000","0.000","0.000","0.000","8.000","0.000","0.000","0.000","1.000","0.000","24.980","1.000","1.000","1.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","1.000","0.000","0.000","0.000","0.000","262.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"73","0.000","0.000","0.000","0.000","8.000","0.000","0.000","0.000","1.000","0.000","24.980","1.000","1.000","1.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","1.000","0.000","0.000","0.000","0.000","262.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"74","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","77.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"75","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","1.000","0.000","1.960","1.000","1.960","1.000","0.000","0.000","0.000","2.250","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","1.000","0.000","0.000","0.000","0.000","137.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"76","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","500.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"77","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","73.790","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","470.560","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000"
"78","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"79","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
